chinese	meaning	part-of-speech	pinyin	sentence	sentence-pinyin	sentence-meaning
有	have; there be	verb	yǒu			
了	forms a complement	particle	le			
吃	eat	verb	chī			
点	order	verb	diǎn			
白酒	white spirits	noun	báijiǔ			
红酒	red wine	noun	hóngjiǔ			
啤酒	beer	noun	píjiǔ			
烤鸭	roast duck	noun	kǎoyā			
牛肉	beef	noun	niúròu			
红烧肉	braised meat in soy sauce	noun	hóngshāoròu			
炒饭	stir-fried rice	noun	chǎofàn			
白菜	Chinese cabbage	noun	báicài			
青菜	green vegetables	noun	qīngcài			
有名	famous	adjective	yǒumíng			
好吃	delicious	adjective	hǎochī			
没	negation word for 有	adverb	méi			
只	only; measure word for birds, cats and some other animals	measure word	zhǐ/zhī			
个	a general measure word	measure word	gè			
瓶	bottle of; bottle	measure word	píng			
杯	glass of, cup of, cup	measure word/noun	bēi			
碗	bowl of, bowl	measure word/noun	wǎn			
盘	dish of, plate of; plate	measure word/noun	pán			
这儿	here	location word	zhèr			
还	still, also, as well	adjective	hái			
红葡萄酒	red wine	noun	hóng pútaojiǔ			
白葡萄酒	white wine	noun	bái pútaojiǔ			
橘子汁	orange juice	noun	júzizhī			
苹果汁	apple juice	noun	píngguǒzhī			
红茶	black tea	noun	hóngchá			
绿茶	green tea	noun	lǜchá			
三明治	sandwich	noun	sānmíngzhì			
蛋糕	cake	noun	dàngāo			
蛋炒饭	egg fried rice	noun	dànchǎofàn			
炒面	stir-fried noodles	noun	chǎomiàn			
饺子	Chinese dumpling	noun	jiǎozi			
水果	fruit	noun	shuǐguǒ			
